
Standard & Poors 500 Index,Last: 4173.4199,Change:  38.4799
"Date: April 21, 2021, 7:31 PM EDT",Bid: 4123.8599,Ask: 4212.48,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Wed Apr 21 2021,SPXW210421C04160000,13.49,9.99,11.5,17.9,22992,0.02,0.8463,0.0177,3184,4160.00,SPXW210421P04160000,0.05,-25.95,0,0.05,10094,0.2021,-0.0401,0.0111,926
Wed Apr 21 2021,SPXW210421C04165000,7.72,5.295,6.2,9,21427,0.02,0.8477,0.0325,952,4165.00,SPXW210421P04165000,0.05,-29.95,0,0.05,6783,0.2016,-0.1335,0.0277,485
Wed Apr 21 2021,SPXW210421C04170000,2.35,0.65,2,2.75,30712,0.02,0.8504,0.0798,1957,4170.00,SPXW210421P04170000,0.05,-34.25,0,0.05,4237,0.2017,-0.3205,0.0459,357
Wed Apr 21 2021,SPXW210421C04175000,0.05,-1.125,0.05,0.1,27218,0.1154,0.3791,0.0854,4534,4175.00,SPXW210421P04175000,1.6,-37.25,1.1,1.6,1726,0.2021,-0.5695,0.0503,2258
Wed Apr 21 2021,SPXW210421C04180000,0.05,-0.775,0,0.05,14193,0.1311,0.1042,0.0357,2779,4180.00,SPXW210421P04180000,7.59,-35.91,4.6,11,656,0.2735,-0.7264,0.0315,1312
Wed Apr 21 2021,SPXW210421C04185000,0.05,-0.525,0,0.05,8429,0.1576,0.0311,0.0115,3697,4185.00,SPXW210421P04185000,14.2,-34.05,9.1,14.7,182,0.3556,-0.7955,0.0207,184
Fri Apr 23 2021,SPXW210423C04160000,18.38,7.33,18.5,18.9,2529,0.1493,0.5575,0.0085,3462,4160.00,SPXW210423P04160000,12.3,-21.65,12,12.3,1655,0.1109,-0.4241,0.0114,915
Fri Apr 23 2021,SPXW210423C04165000,15.9,6.6,15.5,15.9,1526,0.1469,0.5149,0.0087,649,4165.00,SPXW210423P04165000,14.12,-23.08,14.1,14.4,865,0.1074,-0.4811,0.0119,643
Fri Apr 23 2021,SPXW210423C04170000,13.1,5.35,12.9,13.3,2075,0.1432,0.4704,0.0089,1228,4170.00,SPXW210423P04170000,16.6,-24,16.5,16.8,678,0.1036,-0.5424,0.0123,999
Fri Apr 23 2021,SPXW210423C04175000,10.77,4.42,10.6,10.9,3462,0.1405,0.4245,0.009,3758,4175.00,SPXW210423P04175000,19.5,-24.8,19.1,19.5,1536,0.0996,-0.6073,0.0124,1655
Fri Apr 23 2021,SPXW210423C04180000,8.89,3.64,8.6,8.9,5396,0.1379,0.3781,0.0089,2732,4180.00,SPXW210423P04180000,22.34,-25.76,22,22.4,378,0.0951,-0.6752,0.0122,601
Fri Apr 23 2021,SPXW210423C04185000,7.02,2.77,6.8,7.1,3059,0.1358,0.3324,0.0086,3248,4185.00,SPXW210423P04185000,25.49,-26.61,25.3,25.7,300,0.0873,-0.7515,0.0117,450
Mon Apr 26 2021,SPXW210426C04160000,23,7.65,23.2,23.6,914,0.1193,0.5472,0.0068,2927,4160.00,SPXW210426P04160000,17.19,-21.01,16.8,17.1,251,0.095,-0.4421,0.0085,290
